,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
0,1743-11-01,6.068,1.737,Århus,Denmark,57.05N,10.33E
1,1743-12-01,,,Århus,Denmark,57.05N,10.33E
2,1744-01-01,,,Århus,Denmark,57.05N,10.33E
3,1744-02-01,,,Århus,Denmark,57.05N,10.33E
4,1744-03-01,,,Århus,Denmark,57.05N,10.33E
5,1744-04-01,5.787999999999999,3.624,Århus,Denmark,57.05N,10.33E
6,1744-05-01,10.644,1.283,Århus,Denmark,57.05N,10.33E
7,1744-06-01,14.050999999999998,1.347,Århus,Denmark,57.05N,10.33E
8,1744-07-01,16.082,1.396,Århus,Denmark,57.05N,10.33E
9,1744-08-01,,,Århus,Denmark,57.05N,10.33E
10,1744-09-01,12.781,1.454,Århus,Denmark,57.05N,10.33E
11,1744-10-01,7.95,1.63,Århus,Denmark,57.05N,10.33E
12,1744-11-01,4.6389999999999985,1.3019999999999998,Århus,Denmark,57.05N,10.33E
13,1744-12-01,0.12199999999999987,1.756,Århus,Denmark,57.05N,10.33E
14,1745-01-01,-1.3330000000000002,1.642,Århus,Denmark,57.05N,10.33E
15,1745-02-01,-2.7319999999999998,1.358,Århus,Denmark,57.05N,10.33E
16,1745-03-01,0.129,1.088,Århus,Denmark,57.05N,10.33E
17,1745-04-01,4.042,1.138,Århus,Denmark,57.05N,10.33E
18,1745-05-01,,,Århus,Denmark,57.05N,10.33E
19,1745-06-01,,,Århus,Denmark,57.05N,10.33E
20,1745-07-01,,,Århus,Denmark,57.05N,10.33E
21,1745-08-01,,,Århus,Denmark,57.05N,10.33E
22,1745-09-01,,,Århus,Denmark,57.05N,10.33E
23,1745-10-01,,,Århus,Denmark,57.05N,10.33E
24,1745-11-01,,,Århus,Denmark,57.05N,10.33E
25,1745-12-01,,,Århus,Denmark,57.05N,10.33E
26,1746-01-01,,,Århus,Denmark,57.05N,10.33E
27,1746-02-01,,,Århus,Denmark,57.05N,10.33E
28,1746-03-01,,,Århus,Denmark,57.05N,10.33E
29,1746-04-01,,,Århus,Denmark,57.05N,10.33E
30,1746-05-01,,,Århus,Denmark,57.05N,10.33E
31,1746-06-01,,,Århus,Denmark,57.05N,10.33E
32,1746-07-01,,,Århus,Denmark,57.05N,10.33E
33,1746-08-01,,,Århus,Denmark,57.05N,10.33E
34,1746-09-01,,,Århus,Denmark,57.05N,10.33E
35,1746-10-01,,,Århus,Denmark,57.05N,10.33E
36,1746-11-01,,,Århus,Denmark,57.05N,10.33E
37,1746-12-01,,,Århus,Denmark,57.05N,10.33E
38,1747-01-01,,,Århus,Denmark,57.05N,10.33E
39,1747-02-01,,,Århus,Denmark,57.05N,10.33E
40,1747-03-01,,,Århus,Denmark,57.05N,10.33E
41,1747-04-01,,,Århus,Denmark,57.05N,10.33E
42,1747-05-01,,,Århus,Denmark,57.05N,10.33E
43,1747-06-01,,,Århus,Denmark,57.05N,10.33E
44,1747-07-01,,,Århus,Denmark,57.05N,10.33E
45,1747-08-01,,,Århus,Denmark,57.05N,10.33E
46,1747-09-01,,,Århus,Denmark,57.05N,10.33E
47,1747-10-01,,,Århus,Denmark,57.05N,10.33E
48,1747-11-01,,,Århus,Denmark,57.05N,10.33E
49,1747-12-01,,,Århus,Denmark,57.05N,10.33E
50,1748-01-01,,,Århus,Denmark,57.05N,10.33E
